ApplicantID,EmployedWith,ProofOfIdentityProvided,NumberOfDependents
APP-28048,Yes,No,1
APP-28050,No,Yes,5
APP-28058,No,No,4
APP-28069,No,Yes,5
APP-28077,Yes,No,5
APP-28078,Yes,No,1
APP-28107,Yes,Yes,4
APP-28111,No,Yes,4
APP-28131,No,Yes,0
APP-28134,No,No,4
APP-28140,Yes,No,3
APP-28158,No,Yes,5
APP-28025,No,No,0
APP-28031,Yes,No,5
APP-28032,Yes,Yes,0
APP-28036,Yes,Yes,1
APP-28037,Yes,No,4
APP-28039,No,No,5
APP-28042,Yes,Yes,1
APP-28045,Yes,Yes,4
APP-28046,No,Yes,0
APP-28051,Yes,No,3
APP-28057,Yes,No,5
APP-30147,Yes,Yes,0
APP-28018,Yes,Yes,2
APP-28071,No,Yes,1
APP-28122,Yes,No,3
APP-28138,No,Yes,1
APP-28156,No,No,4
APP-30120,Yes,No,1
APP-30128,No,No,0
APP-30168,Yes,No,0
APP-30240,Yes,Yes,1
APP-30377,No,No,4
APP-30133,No,No,4
APP-30180,No,No,3
APP-30204,Yes,Yes,0
APP-30212,Yes,Yes,1
APP-30273,No,No,3
APP-30303,Yes,No,2
APP-30324,Yes,No,3
APP-30356,Yes,No,5
APP-30375,Yes,No,2
APP-30397,No,Yes,2
APP-28023,Yes,No,3
APP-28085,No,No,0
APP-30155,Yes,No,3
APP-30161,No,No,3
APP-30170,No,Yes,5
APP-30172,Yes,Yes,0
APP-30251,No,No,0
APP-30259,No,Yes,5
APP-28044,No,No,0
APP-28120,No,No,0
APP-30216,No,Yes,5
APP-30236,No,No,0
APP-30243,Yes,Yes,5
APP-30248,Yes,No,0
APP-30354,Yes,Yes,3
APP-30370,Yes,No,5
APP-28026,Yes,No,1
APP-28041,Yes,Yes,1
APP-28053,No,No,1
APP-28054,Yes,No,3
APP-28063,Yes,No,0
APP-28064,No,No,2
APP-28067,Yes,Yes,0
APP-28083,No,No,4
APP-28098,Yes,Yes,0
APP-28068,No,No,5
APP-28096,No,Yes,5
APP-28101,Yes,Yes,1
APP-28105,Yes,Yes,0
APP-28146,No,Yes,0
APP-30195,No,No,5
APP-30235,No,Yes,4
APP-30283,No,No,2
APP-30380,Yes,Yes,2
APP-30057,Yes,No,1
APP-30122,Yes,No,5
APP-30157,No,Yes,2
APP-30232,No,Yes,1
APP-30258,Yes,Yes,3
APP-30290,Yes,Yes,4
APP-30319,Yes,Yes,0
APP-30325,Yes,Yes,4
APP-30394,No,Yes,2
APP-30053,No,No,5
APP-30066,No,Yes,0
APP-30074,Yes,No,4
APP-30085,Yes,No,4
APP-30108,No,Yes,5
APP-30110,No,Yes,5
APP-30126,No,Yes,1
APP-30132,No,Yes,5
APP-28132,Yes,No,5
APP-30063,No,Yes,5
APP-30086,Yes,Yes,3
APP-30088,Yes,Yes,4
APP-30096,Yes,No,5
APP-30102,Yes,No,0
APP-30136,No,No,3
APP-30197,Yes,No,3
APP-28086,No,Yes,5
APP-28115,No,Yes,0
APP-28127,Yes,Yes,3
APP-28149,Yes,No,2
APP-28155,No,No,3
APP-30237,Yes,Yes,1
APP-30309,Yes,Yes,3
APP-30321,Yes,Yes,4
APP-28009,Yes,No,5
APP-28010,No,No,3
APP-28011,No,Yes,1
APP-28012,No,Yes,1
APP-28013,No,Yes,5
APP-28014,No,No,3
APP-28015,Yes,No,2
APP-28016,No,Yes,3
APP-28017,No,Yes,0
APP-28019,No,Yes,1
APP-28020,No,No,3
APP-28021,Yes,No,2
APP-28022,Yes,No,2
APP-28024,Yes,No,2
APP-28027,Yes,Yes,4
APP-28028,No,No,4
APP-28029,No,Yes,4
APP-28030,Yes,Yes,5
APP-28033,No,No,0
APP-28034,Yes,No,0
APP-28035,Yes,No,5
APP-28038,Yes,No,3
APP-28040,Yes,No,4
APP-28043,No,Yes,4
APP-28047,Yes,No,0
APP-28049,No,No,2
APP-28052,No,No,2
APP-28055,Yes,No,5
APP-28056,No,No,5
APP-28059,No,No,5
APP-28060,Yes,Yes,1
APP-28061,Yes,No,5
APP-28062,Yes,No,3
APP-28065,Yes,Yes,3
APP-28066,Yes,No,4
APP-28070,No,Yes,0
APP-28072,No,Yes,3
APP-28073,Yes,No,2
APP-28074,Yes,No,0
APP-28075,No,Yes,4
APP-28076,Yes,No,5
APP-28079,Yes,No,4
APP-28080,Yes,No,3
APP-28081,No,No,3
APP-28082,Yes,No,5
APP-28084,No,No,1
APP-28087,No,No,5
APP-28088,Yes,Yes,5
APP-28090,No,Yes,3
APP-28091,Yes,Yes,3
APP-28092,No,No,2
APP-28093,No,Yes,2
APP-28094,No,Yes,0
APP-28095,Yes,No,3
APP-28097,No,No,3
APP-28099,Yes,No,4
APP-28100,Yes,Yes,2
APP-28102,Yes,Yes,4
APP-28103,No,Yes,3
APP-28104,No,Yes,2
APP-28106,Yes,Yes,3
APP-28108,No,Yes,1
APP-28109,Yes,Yes,5
APP-28110,No,No,4
APP-28112,Yes,Yes,2
