ClientID,ClientStatus,Company,YearsAsCustomer
CLI-28048,Gold,Wayne Enterprises,3
CLI-28050,Gold,Cyberdyne,16
CLI-28058,Platinum,AcmeCorp,9
CLI-28069,Silver,Initech,12
CLI-28077,Silver,Umbrella,19
CLI-28078,Platinum,Wayne Enterprises,5
CLI-28107,Platinum,Tyrell Corp,7
CLI-28111,Silver,Cyberdyne,2
CLI-28131,Gold,Wayne Enterprises,14
CLI-28134,Gold,Initech,19
CLI-28140,Platinum,Globex,6
CLI-28158,Gold,Initech,16
CLI-28025,Silver,Wonka Inc.,7
CLI-28031,Platinum,AcmeCorp,20
CLI-28032,Silver,AcmeCorp,4
CLI-28036,Platinum,Umbrella,8
CLI-28037,Platinum,Initech,2
CLI-28039,Silver,Massive Dynamic,2
CLI-28042,Silver,Cyberdyne,4
CLI-28045,Silver,AcmeCorp,15
CLI-28046,Gold,Initech,18
CLI-28051,Silver,Globex,9
CLI-28057,Gold,AcmeCorp,8
CLI-30147,Silver,Soylent Corp,12
CLI-28018,Gold,Wonka Inc.,17
CLI-28071,Platinum,Wonka Inc.,4
CLI-28122,Platinum,Tyrell Corp,7
CLI-28138,Silver,Umbrella,12
CLI-28156,Silver,Initech,9
CLI-30120,Gold,Initech,18
CLI-30128,Silver,Initech,17
CLI-30168,Gold,Wayne Enterprises,18
CLI-30240,Platinum,Umbrella,14
CLI-30377,Gold,Globex,12
CLI-30133,Silver,Initech,9
CLI-30180,Platinum,Tyrell Corp,18
CLI-30204,Platinum,Tyrell Corp,13
CLI-30212,Gold,Globex,7
CLI-30273,Silver,AcmeCorp,1
CLI-30303,Gold,Umbrella,16
CLI-30324,Platinum,Globex,12
CLI-30356,Platinum,Globex,9
CLI-30375,Silver,Soylent Corp,12
CLI-30397,Platinum,Wayne Enterprises,14
CLI-28023,Platinum,Massive Dynamic,12
CLI-28085,Silver,AcmeCorp,11
CLI-30155,Gold,Initech,1
CLI-30161,Platinum,Massive Dynamic,6
CLI-30170,Platinum,Initech,5
CLI-30172,Gold,Cyberdyne,19
CLI-30251,Gold,Initech,15
CLI-30259,Silver,AcmeCorp,5
CLI-28044,Gold,Tyrell Corp,11
CLI-28120,Platinum,Cyberdyne,12
